PID,Fraud,DeductibleAmt,AmtReimbursed,CountOfCID,AvgAmtReimb,AvgAmtDed,CountOfBene,AvgReimbPerBene,AvgDedPerBene,AvgAge
PRV52422,No,300,26400,58,455,5,33,800,9,72
PRV52423,No,180,11480,54,213,3,30,383,6,72
PRV52425,No,70,3570,23,155,3,8,446,9,75
PRV52427,No,3204,36850,19,1939,169,12,3071,267,72
PRV52431,No,150,23850,63,379,2,36,663,4,71
PRV52432,No,220,12780,58,220,4,27,473,8,73
PRV52433,No,170,22060,85,260,2,62,356,3,78
PRV52434,No,0,90,2,45,0,2,45,0,92
PRV52435,No,380,20420,70,292,5,25,817,15,73
PRV52436,No,60,9980,44,227,1,22,454,3,63
PRV52437,No,40,11050,43,257,1,26,425,2,75
PRV52439,No,320,29520,121,244,3,64,461,5,74
PRV52440,No,200,4980,12,415,17,8,623,25,78
PRV52441,No,670,20410,94,217,7,53,385,13,73
PRV52443,No,0,10,1,10,0,1,10,0,92
PRV52445,Yes,5340,102000,5,20400,1068,5,20400,1068,72
PRV52446,No,10680,129000,10,12900,1068,10,12900,1068,61
PRV52448,No,0,170,2,85,0,2,85,0,92
PRV52449,No,6408,126000,6,21000,1068,5,25200,1282,78
PRV52450,No,590,81540,298,274,2,232,351,3,71
PRV52451,No,20,11130,20,557,1,17,655,1,72
PRV52452,No,3556,87650,274,320,13,136,644,26,71
PRV52453,No,0,20,1,20,0,1,20,0,75
PRV52454,No,90,1450,15,97,6,14,104,6,73
PRV52455,No,280,24200,76,318,4,45,538,6,73
PRV52456,No,0,1370,7,196,0,7,196,0,67
PRV52457,No,8544,117000,9,13000,949,9,13000,949,77
PRV52458,No,1068,27000,1,27000,1068,1,27000,1068,68
PRV52459,No,52332,505900,50,10118,1047,49,10324,1068,73
PRV52460,No,13884,90000,13,6923,1068,9,10000,1543,74
PRV52461,No,7476,48000,7,6857,1068,7,6857,1068,71
PRV52462,No,1068,16000,2,8000,534,2,8000,534,83
PRV52463,No,1068,5000,1,5000,1068,1,5000,1068,93
PRV52464,No,2136,12000,2,6000,1068,2,6000,1068,87
PRV52466,No,13884,139000,13,10692,1068,11,12636,1262,69
PRV52467,Yes,8844,183660,103,1783,86,89,2064,99,75
PRV52468,No,3204,32450,21,1545,153,21,1545,153,72
PRV52469,No,6688,104420,184,568,36,150,696,45,73
PRV52470,No,0,270,3,90,0,3,90,0,74
PRV52471,No,100,1640,8,205,13,8,205,13,75
PRV52472,No,18256,203810,61,3341,299,57,3576,320,74
PRV52473,No,0,3870,4,968,0,4,968,0,80
PRV52474,No,22488,228770,37,6183,608,35,6536,643,71
PRV52476,No,6508,87300,26,3358,250,26,3358,250,74
PRV52478,No,5480,31700,55,576,100,52,610,105,72
PRV52480,No,5340,44350,30,1478,178,29,1529,184,72
PRV52482,No,0,40,1,40,0,1,40,0,68
PRV52483,No,550,52110,223,234,2,61,854,9,78
PRV52484,No,290,1570,13,121,22,10,157,29,79
PRV52485,No,60,1580,5,316,12,4,395,15,85
PRV52486,No,110,22140,69,321,2,58,382,2,71
PRV52487,No,1120,51030,177,288,6,127,402,9,73
PRV52488,No,640,44710,183,244,3,130,344,5,74
PRV52490,No,0,4990,17,294,0,16,312,0,80
PRV52491,No,100,16580,63,263,2,57,291,2,74
PRV52492,No,20,7810,34,230,1,33,237,1,75
PRV52493,No,0,3970,16,248,0,16,248,0,76
PRV52494,No,0,20,1,20,0,1,20,0,75
PRV52495,No,12816,98800,15,6587,854,14,7057,915,73
PRV52497,Yes,4272,59240,30,1975,142,30,1975,142,75
PRV52499,No,7876,164670,157,1049,50,119,1384,66,73
PRV52500,No,7826,86310,126,685,62,111,778,71,73
PRV52501,No,100,4840,19,255,5,16,303,6,72
PRV52502,Yes,26720,260900,119,2192,225,87,2999,307,75
PRV52503,No,5700,72800,78,933,73,63,1156,90,74
PRV52504,Yes,14952,114180,40,2855,374,34,3358,440,73
PRV52506,No,0,2190,13,168,0,12,183,0,74
PRV52507,No,100,7250,29,250,3,24,302,4,72
PRV52508,No,2186,30640,37,828,59,36,851,61,72
PRV52509,No,6568,113850,63,1807,104,26,4379,253,73
PRV52510,No,100,4240,26,163,4,22,193,5,73
PRV52511,Yes,79472,720280,246,2928,323,196,3675,405,71
PRV52512,No,0,6090,31,196,0,19,321,0,67
PRV52513,No,0,3870,20,194,0,18,215,0,76
PRV52514,No,60,6600,15,440,4,13,508,5,79
PRV52515,No,40,2450,17,144,2,17,144,2,71
PRV52517,No,120,10910,32,341,4,26,420,5,75
PRV52518,No,1168,72340,51,1418,23,50,1447,23,70
PRV52519,No,6708,137180,100,1372,67,72,1905,93,72
PRV52520,No,390,39910,121,330,3,51,783,8,75
PRV52521,No,160,25000,113,221,1,88,284,2,74
PRV52523,No,0,480,3,160,0,3,160,0,73
PRV52525,No,0,150,2,75,0,2,75,0,80
PRV52526,No,0,90,1,90,0,1,90,0,75
PRV52527,No,600,48730,160,305,4,73,668,8,75
PRV52528,No,0,6460,26,248,0,16,404,0,69
PRV52529,No,0,2120,12,177,0,8,265,0,70
PRV52530,No,1068,5210,10,521,107,9,579,119,76
PRV52531,No,30,2970,5,594,6,5,594,6,71
PRV52532,No,60,2550,16,159,4,15,170,4,72
PRV52533,No,410,7380,43,172,10,27,273,15,76
PRV52535,No,90,7200,18,400,5,12,600,8,77
PRV52536,No,1068,14000,1,14000,1068,1,14000,1068,73
PRV52537,No,1068,57000,1,57000,1068,1,57000,1068,72
PRV52539,No,100,4450,14,318,7,12,371,8,66
PRV52540,No,0,3370,7,481,0,4,843,0,70
PRV52541,No,5340,41000,5,8200,1068,5,8200,1068,76
PRV52542,No,110,15920,62,257,2,44,362,3,73
PRV52543,No,580,47550,171,278,3,89,534,7,73
PRV52544,No,6408,34000,6,5667,1068,6,5667,1068,79
PRV52545,No,110,1460,13,112,8,13,112,8,76
PRV52547,No,0,3020,2,1510,0,2,1510,0,75
PRV52548,No,5340,38750,15,2583,356,15,2583,356,74
PRV52549,No,7118,97160,156,623,46,54,1799,132,76
PRV52551,No,0,920,5,184,0,5,184,0,76
PRV52552,No,11938,119870,55,2179,217,54,2220,221,72
PRV52553,No,4272,62320,8,7790,534,8,7790,534,73
PRV52554,No,0,1970,13,152,0,13,152,0,77
PRV52555,No,0,3600,7,514,0,7,514,0,81
PRV52556,No,48330,464760,115,4041,420,100,4648,483,74
PRV52557,No,0,970,11,88,0,9,108,0,72
PRV52558,No,1220,140900,494,285,2,440,320,3,75
PRV52559,No,540,90740,359,253,2,207,438,3,75
PRV52560,No,1870,145450,503,289,4,174,836,11,75
PRV52561,No,890,128900,280,460,3,261,494,3,75
PRV52562,No,5730,90620,87,1042,66,61,1486,94,76
PRV52563,No,1260,173770,473,367,3,246,706,5,76
PRV52564,No,5360,39700,21,1890,255,21,1890,255,78
PRV52565,No,12138,141640,137,1034,89,86,1647,141,75
PRV52566,No,23856,252030,139,1813,172,135,1867,177,76
PRV52567,No,480,29670,66,450,7,38,781,13,77
PRV52568,No,430,25730,87,296,5,41,628,10,74
PRV52570,No,8544,68190,24,2841,356,23,2965,371,76
PRV52571,No,1130,161790,508,318,2,429,377,3,74
PRV52572,No,0,4150,3,1383,0,3,1383,0,82
PRV52573,No,1010,158670,587,270,2,520,305,2,75
PRV52574,Yes,154072,1533830,259,5922,595,208,7374,741,78
PRV52575,No,100,23780,70,340,1,40,595,3,75
PRV52576,No,3204,49850,26,1917,123,26,1917,123,76
PRV52577,No,0,2550,8,319,0,8,319,0,80
PRV52578,Yes,38448,353050,49,7205,785,40,8826,961,73
PRV52579,No,100,1060,9,118,11,9,118,11,76
PRV52580,No,60,7090,39,182,2,37,192,2,73
PRV52581,No,240,40050,142,282,2,135,297,2,73
PRV52582,No,20292,191020,23,8305,882,23,8305,882,71
PRV52583,No,27420,237790,208,1143,132,193,1232,142,73
PRV52584,No,3274,57460,54,1064,61,51,1127,64,76
PRV52586,No,0,300,1,300,0,1,300,0,70
PRV52587,No,160,38900,137,284,1,68,572,2,74
PRV52588,No,18156,176620,50,3532,363,37,4774,491,74
PRV52589,Yes,86530,832920,426,1955,203,368,2263,235,74
PRV52590,Yes,121972,1227580,208,5902,586,190,6461,642,74
PRV52591,No,440,12510,46,272,10,45,278,10,75
PRV52592,No,7476,59620,19,3138,393,18,3312,415,84
PRV52593,Yes,1360,142020,582,244,2,252,564,5,75
PRV52596,No,0,400,2,200,0,2,200,0,76
PRV52598,No,30,10490,31,338,1,30,350,1,79
PRV52599,No,950,87890,272,323,3,144,610,7,75
PRV52602,No,8694,108520,79,1374,110,73,1487,119,74
PRV52604,No,0,3490,7,499,0,7,499,0,67
PRV52605,No,3020,253880,1000,254,3,401,633,8,75
PRV52606,No,240,10020,30,334,8,22,455,11,67
PRV52607,No,0,3400,2,1700,0,2,1700,0,77
PRV52608,No,1068,3000,1,3000,1068,1,3000,1068,84
PRV52609,Yes,5750,98690,133,742,43,45,2193,128,75
PRV52610,No,1198,10040,17,591,70,16,628,75,75
PRV52611,No,9612,82760,16,5173,601,16,5173,601,74
PRV52614,No,160,42480,156,272,1,94,452,2,74
PRV52615,No,2136,18770,9,2086,237,9,2086,237,73
PRV52616,No,0,8640,15,576,0,15,576,0,72
PRV52617,No,44408,407900,238,1714,187,135,3021,329,75
PRV52621,No,24724,180280,45,4006,549,42,4292,589,71
PRV52622,No,4272,17010,7,2430,610,7,2430,610,76
PRV52623,No,11440,202290,235,861,49,125,1618,92,73
PRV52626,No,0,560,3,187,0,3,187,0,78
PRV52627,No,3204,46070,5,9214,641,5,9214,641,80
PRV52628,Yes,5780,604120,2098,288,3,1354,446,4,75
PRV52629,No,140,12320,61,202,2,58,212,2,75
PRV52630,Yes,92978,873470,434,2013,214,260,3360,358,76
PRV52631,No,2190,321750,1057,304,2,804,400,3,74
PRV52633,No,1190,100770,379,266,3,224,450,5,74
PRV52634,No,60876,424950,87,4884,700,79,5379,771,73
PRV52636,No,160,6820,21,325,8,21,325,8,72
PRV52638,No,0,400,1,400,0,1,400,0,56
PRV52639,No,90,10150,37,274,2,33,308,3,77
PRV52640,No,90,11050,66,167,1,65,170,1,75
PRV52641,No,22478,186330,97,1921,232,91,2048,247,73
PRV52642,Yes,153514,1328240,436,3046,352,263,5050,584,75
PRV52643,No,0,5090,11,463,0,11,463,0,79
PRV52644,No,9682,70530,31,2275,312,29,2432,334,76
PRV52645,No,1480,109630,408,269,4,367,299,4,75
PRV52646,No,35304,306310,104,2945,339,87,3521,406,76
PRV52647,No,7596,71070,75,948,101,73,974,104,75
PRV52648,Yes,1490,255250,842,303,2,259,986,6,75
PRV52649,Yes,5170,602190,2156,279,2,1421,424,4,74
PRV52651,No,3204,33090,4,8273,801,4,8273,801,86
PRV52652,Yes,2290,190560,743,256,3,503,379,5,74
PRV52653,No,4272,68950,14,4925,305,13,5304,329,68
PRV52654,No,60168,483550,177,2732,340,171,2828,352,74
PRV52656,No,1950,239770,775,309,3,631,380,3,74
PRV52657,No,350,29250,121,242,3,61,480,6,73
PRV52658,No,120,14840,39,381,3,36,412,3,77
PRV52659,No,20,3310,24,138,1,24,138,1,78
PRV52660,No,2250,145400,558,261,4,329,442,7,75
PRV52661,No,660,75690,247,306,3,233,325,3,74
PRV52662,No,2136,12790,19,673,112,18,711,119,75
PRV52663,No,1770,180650,576,314,3,272,664,7,74
PRV52665,No,1930,146130,607,241,3,416,351,5,74
PRV52666,No,70,8930,39,229,2,38,235,2,74
PRV52667,No,0,150,3,50,0,3,50,0,87
PRV52668,No,0,1850,7,264,0,6,308,0,78
PRV52669,No,0,300,1,300,0,1,300,0,87
PRV52670,No,100,760,13,58,8,13,58,8,73
PRV52671,No,0,240,2,120,0,2,120,0,83
PRV52672,No,0,390,3,130,0,2,195,0,74
PRV52673,No,520,19470,87,224,6,52,374,10,77
PRV52674,No,0,730,3,243,0,3,243,0,77
PRV52676,No,40,9800,39,251,1,34,288,1,77
PRV52677,No,0,140,2,70,0,2,70,0,82
PRV52678,No,70,24930,74,337,1,51,489,1,75
PRV52679,No,50,16100,53,304,1,36,447,1,75
PRV52681,No,0,460,3,153,0,3,153,0,62
PRV52683,No,220,33240,131,254,2,66,504,3,75
PRV52684,No,5960,130040,210,619,28,108,1204,55,74
PRV52686,No,0,1120,9,124,0,8,140,0,75
PRV52687,No,6408,61920,41,1510,156,25,2477,256,72
PRV52688,No,6558,115670,59,1961,111,30,3856,219,73
PRV52689,No,100,1330,12,111,8,12,111,8,77
PRV52690,Yes,690,52510,117,449,6,37,1419,19,79
PRV52691,No,3314,22380,17,1316,195,15,1492,221,73
PRV52692,No,290,9640,36,268,8,18,536,16,64
PRV52693,No,0,3920,8,490,0,8,490,0,71
PRV52694,No,0,110,2,55,0,2,55,0,65
PRV52695,No,0,200,5,40,0,5,40,0,75
PRV52696,No,3204,96000,3,32000,1068,3,32000,1068,75
PRV52697,No,0,650,5,130,0,5,130,0,83
PRV52698,No,1548,41770,123,340,13,56,746,28,78
PRV52699,No,1068,13150,12,1096,89,11,1195,97,73
PRV52700,No,100,12300,30,410,3,16,769,6,79
PRV52701,No,340,25610,96,267,4,55,466,6,75
PRV52702,No,40,6750,28,241,1,24,281,2,77
PRV52703,No,190,2700,4,675,48,4,675,48,81
PRV52704,No,530,51790,159,326,3,73,709,7,74
PRV52706,No,2136,33190,26,1277,82,25,1328,85,76
PRV52708,No,5410,40400,31,1303,175,12,3367,451,75
PRV52709,No,0,2220,13,171,0,4,555,0,80
PRV52710,No,10,4410,28,158,0,26,170,0,69
PRV52711,No,0,9110,28,325,0,18,506,0,68
PRV52713,No,130,14260,60,238,2,21,679,6,80
PRV52714,No,0,710,5,142,0,5,142,0,66
PRV52715,No,0,200,3,67,0,3,67,0,78
PRV52717,No,22210,211130,129,1637,172,87,2427,255,72
PRV52719,No,310,10840,63,172,5,33,328,9,75
PRV52720,No,80,15050,50,301,2,24,627,3,74
PRV52721,No,0,1810,7,259,0,7,259,0,73
PRV52722,No,10072,147380,283,521,36,119,1238,85,76
PRV52723,No,19444,219760,181,1214,107,93,2363,209,74
PRV52724,No,0,5040,24,210,0,17,296,0,74
PRV52725,No,110,18850,42,449,3,40,471,3,75
PRV52726,No,0,380,2,190,0,2,190,0,80
PRV52727,No,50,2650,12,221,4,10,265,5,82
PRV52728,No,0,3140,15,209,0,12,262,0,71
PRV52729,No,0,500,2,250,0,2,250,0,83
PRV52731,No,110,4410,23,192,5,13,339,8,76
PRV52732,No,0,2490,10,249,0,6,415,0,72
PRV52733,No,0,30,1,30,0,1,30,0,76
PRV52736,No,0,50,1,50,0,1,50,0,87
PRV52738,No,50,17660,62,285,1,49,360,1,73
PRV52739,No,320,11400,53,215,6,39,292,8,75
PRV52740,No,100,6310,34,186,3,18,351,6,76
PRV52741,No,0,80,2,40,0,2,40,0,72
PRV52742,No,0,1270,6,212,0,3,423,0,78
PRV52743,No,0,2070,6,345,0,6,345,0,75
PRV52744,No,0,400,2,200,0,2,200,0,75
PRV52745,No,560,47020,156,301,4,152,309,4,75
PRV52746,No,0,50,1,50,0,1,50,0,78
PRV52747,No,160,7520,21,358,8,21,358,8,77
PRV52748,No,0,610,10,61,0,10,61,0,74
PRV52750,No,160,10700,26,412,6,26,412,6,72
PRV52751,No,0,300,3,100,0,3,100,0,77
PRV52752,No,0,560,2,280,0,2,280,0,84
PRV52753,No,0,130,2,65,0,2,65,0,64
PRV52754,No,0,10,1,10,0,1,10,0,79
PRV52755,No,0,5930,11,539,0,9,659,0,71
PRV52756,No,0,220,4,55,0,4,55,0,69
PRV52757,No,0,50,1,50,0,1,50,0,80
PRV52758,No,0,130,4,33,0,4,33,0,74
PRV52760,No,0,4070,5,814,0,5,814,0,74
PRV52761,No,0,4740,11,431,0,11,431,0,77
PRV52763,No,70,50,1,50,70,1,50,70,69
PRV52764,No,0,450,3,150,0,3,150,0,73
PRV52766,No,0,2010,11,183,0,11,183,0,73
PRV52767,No,40,690,4,173,10,4,173,10,83
PRV52768,No,90,7310,25,292,4,25,292,4,80
PRV52769,No,0,40,1,40,0,1,40,0,85
PRV52770,No,0,1090,7,156,0,7,156,0,67
PRV52771,No,0,250,4,63,0,4,63,0,78
PRV52772,No,0,2050,12,171,0,12,171,0,74
PRV52773,No,0,150,2,75,0,2,75,0,82
PRV52774,No,0,300,4,75,0,4,75,0,85
PRV52775,No,0,3790,7,541,0,7,541,0,73
PRV52777,No,0,260,2,130,0,2,130,0,73
PRV52778,No,0,100,1,100,0,1,100,0,74
PRV52781,No,0,100,1,100,0,1,100,0,70
PRV52782,No,0,1730,10,173,0,7,247,0,74
PRV52783,No,0,70,1,70,0,1,70,0,77
PRV52784,No,0,270,2,135,0,2,135,0,79
PRV52785,No,0,60,1,60,0,1,60,0,87
PRV52786,No,0,120,2,60,0,2,60,0,71
PRV52787,No,11748,67000,11,6091,1068,11,6091,1068,71
PRV52788,No,1490,115280,401,287,4,373,309,4,74
PRV52789,No,170,12500,38,329,4,38,329,4,77
PRV52790,No,200,6860,28,245,7,15,457,13,77
PRV52791,No,0,200,1,200,0,1,200,0,79
PRV52792,No,80,320,5,64,16,5,64,16,79
PRV52793,No,60,4230,17,249,4,17,249,4,81
PRV52794,No,0,30,1,30,0,1,30,0,66
PRV52795,No,80,6150,19,324,4,13,473,6,73
PRV52796,No,140,16690,48,348,3,16,1043,9,67
PRV52797,No,0,300,1,300,0,1,300,0,68
PRV52798,No,200,18160,56,324,4,38,478,5,77
PRV52799,No,0,150,2,75,0,2,75,0,74
PRV52800,No,90,1890,8,236,11,6,315,15,69
PRV52801,No,260,10510,31,339,8,22,478,12,78
PRV52803,No,2136,9000,2,4500,1068,2,4500,1068,73
PRV52804,No,1068,36000,1,36000,1068,1,36000,1068,84
PRV52806,No,2136,16000,2,8000,1068,2,8000,1068,73
PRV52807,No,2136,17000,2,8500,1068,2,8500,1068,84
PRV52808,No,4272,31080,5,6216,854,5,6216,854,75
PRV52810,No,6408,76000,6,12667,1068,6,12667,1068,73
PRV52813,No,14952,142000,17,8353,880,15,9467,997,77
PRV52814,No,2136,6000,2,3000,1068,2,3000,1068,76
PRV52815,Yes,27768,390000,26,15000,1068,24,16250,1157,80
PRV52816,No,1068,3000,1,3000,1068,1,3000,1068,41
PRV52818,No,10,9730,39,249,0,35,278,0,73
PRV52820,No,220,6510,32,203,7,30,217,7,76
PRV52821,Yes,180974,1822970,713,2557,254,389,4686,465,73
PRV52822,No,910,43480,135,322,7,97,448,9,73
PRV52823,No,7956,65100,87,748,91,70,930,114,72
PRV52824,No,300,8740,42,208,7,39,224,8,70
PRV52825,No,0,5870,22,267,0,21,280,0,77
PRV52826,Yes,1020,101600,292,348,3,103,986,10,70
PRV52827,No,1630,282060,804,351,2,296,953,6,76
PRV52828,Yes,24784,221050,44,5024,563,38,5817,652,70
PRV52829,No,8198,226800,533,426,15,326,696,25,73
PRV52830,No,220,7250,34,213,6,28,259,8,72
PRV52831,No,19224,247920,31,7997,620,29,8549,663,75
PRV52832,No,100,10180,31,328,3,30,339,3,75
PRV52833,No,4472,27460,14,1961,319,12,2288,373,75
PRV52835,No,11948,140360,57,2462,210,57,2462,210,77
PRV52836,No,4342,53680,21,2556,207,20,2684,217,73
PRV52837,No,2216,31930,71,450,31,59,541,38,72
PRV52838,No,370,25230,83,304,4,61,414,6,74
PRV52839,No,390,12290,33,372,12,30,410,13,74
PRV52841,No,1068,13320,3,4440,356,3,4440,356,79
PRV52842,No,26692,396510,445,891,60,263,1508,101,73
PRV52843,Yes,50656,592160,251,2359,202,190,3117,267,71
PRV52844,No,2366,46950,129,364,18,112,419,21,72
PRV52845,No,9004,268340,231,1162,39,137,1959,66,73
PRV52846,Yes,185872,2117010,241,8784,771,222,9536,837,73
PRV52847,Yes,58920,617430,92,6711,640,75,8232,786,75
PRV52848,No,110,5280,25,211,4,25,211,4,78
PRV52849,No,2146,45780,14,3270,153,13,3522,165,73
PRV52850,No,1768,48470,146,332,12,52,932,34,74
PRV52851,No,8714,67460,37,1823,236,35,1927,249,71
PRV52853,No,180,11050,29,381,6,24,460,8,77
PRV52855,No,3204,31800,22,1445,146,22,1445,146,78
PRV52857,No,6400,196310,459,428,14,178,1103,36,72
PRV52858,No,15132,164760,80,2060,189,77,2140,197,76
PRV52859,No,1940,287930,911,316,2,441,653,4,75
PRV52860,Yes,1290,107830,393,274,3,149,724,9,75
PRV52861,No,220,1770,14,126,16,14,126,16,65
PRV52862,No,58740,432660,76,5693,773,67,6458,877,73
PRV52863,No,80,14650,52,282,2,29,505,3,72
PRV52864,No,120,12870,28,460,4,22,585,5,71
PRV52865,No,6428,82790,66,1254,97,57,1452,113,72
PRV52868,Yes,44926,434120,110,3947,408,93,4668,483,72
PRV52869,No,7506,94120,62,1518,121,50,1882,150,74
PRV52870,Yes,37982,453380,589,770,64,220,2061,173,72
PRV52872,No,250,47710,108,442,2,102,468,2,73
PRV52873,No,110,16500,69,239,2,56,295,2,78
PRV52875,No,0,1540,12,128,0,12,128,0,78
PRV52876,No,18396,195980,73,2685,252,66,2969,279,74
PRV52877,No,0,2450,19,129,0,19,129,0,79
PRV52878,No,0,11700,27,433,0,25,468,0,75
PRV52879,No,370,26880,120,224,3,56,480,7,74
PRV52880,No,3264,19560,20,978,163,19,1029,172,77
PRV52881,No,21082,211510,302,700,70,225,940,94,74
PRV52882,No,130,14960,41,365,3,32,468,4,75
PRV52884,Yes,1720,237930,707,337,2,213,1117,8,74
PRV52886,No,370,24030,70,343,5,41,586,9,76
PRV52887,Yes,26504,383590,530,724,50,202,1899,131,73
PRV52889,No,33920,407500,640,637,53,363,1123,93,75
PRV52890,No,4372,34950,22,1589,199,22,1589,199,69
PRV52891,No,90,2580,19,136,5,19,136,5,72
PRV52892,No,7476,108690,36,3019,208,29,3748,258,76
PRV52893,No,1390,131850,362,364,4,227,581,6,70
PRV52895,No,190,26180,81,323,2,72,364,3,72
PRV52896,No,18356,300920,142,2119,129,97,3102,189,71
PRV52897,No,300,9140,45,203,7,39,234,8,74
PRV52898,No,51414,535930,114,4701,451,108,4962,476,74
PRV52899,No,0,30,1,30,0,1,30,0,67
PRV52901,No,80,23030,85,271,1,50,461,2,76
PRV52902,No,21520,132250,46,2875,468,44,3006,489,73
PRV52903,Yes,174144,1568110,200,7841,871,191,8210,912,77
PRV52904,No,1068,10230,3,3410,356,3,3410,356,69
PRV52905,No,250,25440,130,196,2,58,439,4,78
PRV52907,No,560,53600,183,293,3,79,678,7,73
PRV52910,No,10680,151600,18,8422,593,16,9475,668,78
PRV52911,No,0,2060,5,412,0,5,412,0,80
PRV52912,No,1178,14640,16,915,74,14,1046,84,76
PRV52913,No,220,11600,35,331,6,32,363,7,71
PRV52914,No,330,17170,61,281,5,44,390,8,72
PRV52916,No,6408,73130,26,2813,246,25,2925,256,71
PRV52917,No,70,8870,32,277,2,21,422,3,75
PRV52918,No,13884,114010,22,5182,631,20,5701,694,74
PRV52919,No,130,14070,66,213,2,37,380,4,64
PRV52920,No,2296,14530,17,855,135,17,855,135,72
PRV52921,No,3364,27450,46,597,73,43,638,78,74
PRV52922,No,7476,49510,33,1500,227,24,2063,312,73
PRV52924,No,3204,38730,13,2979,246,11,3521,291,75
PRV52925,No,4272,29000,4,7250,1068,4,7250,1068,82
PRV52926,No,4322,53760,17,3162,254,16,3360,270,75
PRV52928,No,290,9260,41,226,7,23,403,13,75
PRV52929,No,30,6770,35,193,1,20,339,2,80
PRV52930,No,300,39290,127,309,2,61,644,5,72
PRV52931,No,150,3010,14,215,11,14,215,11,70
PRV52932,No,90,13830,40,346,2,34,407,3,73
PRV52933,Yes,3204,69390,8,8674,401,6,11565,534,72
PRV52934,No,230,8730,32,273,7,18,485,13,71
PRV52935,No,250,101800,280,364,1,85,1198,3,75
PRV52936,No,4582,44340,108,411,42,34,1304,135,78
PRV52937,No,100,6030,24,251,4,21,287,5,75
PRV52938,No,0,4270,3,1423,0,3,1423,0,87
PRV52940,No,40,950,9,106,4,7,136,6,75
PRV52941,No,170,13950,43,324,4,39,358,4,72
PRV52942,No,40,10910,43,254,1,39,280,1,78
PRV52943,No,80,6760,35,193,2,33,205,2,75
PRV52944,No,0,4120,4,1030,0,4,1030,0,64
PRV52945,No,160,6870,46,149,3,24,286,7,76
PRV52948,No,510,25320,106,239,5,47,539,11,71
PRV52949,No,370,27080,79,343,5,51,531,7,71
PRV52950,No,470,33830,116,292,4,64,529,7,75
PRV52951,No,110,9980,20,499,6,20,499,6,76
PRV52952,No,0,600,1,600,0,1,600,0,85
PRV52953,No,130,23580,85,277,2,61,387,2,74
PRV52954,No,0,2100,1,2100,0,1,2100,0,90
PRV52955,No,450,14160,73,194,6,63,225,7,75
PRV52956,No,100,2110,18,117,6,9,234,11,76
PRV52957,No,70,0,1,0,70,1,0,70,68
PRV52958,No,0,2020,16,126,0,15,135,0,77
PRV52961,No,0,320,5,64,0,5,64,0,64
PRV52962,No,50,3520,14,251,4,9,391,6,79
PRV52963,No,0,850,9,94,0,7,121,0,79
PRV52964,No,170,27140,91,298,2,37,734,5,70
PRV52966,No,0,710,3,237,0,3,237,0,75
PRV52970,No,1068,4000,1,4000,1068,1,4000,1068,77
PRV52971,No,3204,15000,3,5000,1068,3,5000,1068,74
PRV52972,No,18156,220000,17,12941,1068,14,15714,1297,71
PRV52976,No,4272,29000,4,7250,1068,4,7250,1068,77
PRV52978,No,5340,59000,5,11800,1068,5,11800,1068,74
PRV52979,No,6408,68000,6,11333,1068,6,11333,1068,76
PRV52980,No,1330,142660,601,237,2,229,623,6,75
PRV52981,No,790,85830,369,233,2,149,576,5,75
PRV52982,Yes,2160,216220,643,336,3,231,936,9,75
PRV52985,Yes,128764,1720120,1403,1226,92,500,3440,258,75
PRV52986,No,9772,132490,36,3680,271,31,4274,315,76
PRV52988,No,880,76070,312,244,3,124,613,7,75
PRV52989,Yes,75120,882590,177,4986,424,138,6396,544,76
PRV52990,Yes,23496,208160,79,2635,297,55,3785,427,76
PRV52991,No,8544,103970,59,1762,145,54,1925,158,76
PRV52993,No,20,3120,10,312,2,9,347,2,75
PRV52996,No,0,11510,37,311,0,30,384,0,77
PRV52998,No,15122,151190,33,4582,458,28,5400,540,75
PRV52999,No,8644,73210,56,1307,154,51,1435,169,77
PRV53000,No,2030,200250,703,285,3,469,427,4,75
PRV53001,No,0,45460,150,303,0,105,433,0,73
PRV53002,No,1110,116040,397,292,3,134,866,8,75
PRV53004,No,0,4310,18,239,0,16,269,0,70
PRV53005,Yes,16020,168860,50,3377,320,37,4564,433,77
PRV53007,Yes,38818,400540,96,4172,404,68,5890,571,76
PRV53008,Yes,39566,353600,52,6800,761,48,7367,824,74
PRV53009,No,5340,35620,37,963,144,23,1549,232,74
PRV53013,No,0,5030,4,1258,0,4,1258,0,75
PRV53014,No,0,1180,8,148,0,8,148,0,73
PRV53015,No,0,1120,8,140,0,6,187,0,58
PRV53016,No,140,16900,31,545,5,18,939,8,66
PRV53017,No,10,1000,9,111,1,4,250,3,81
PRV53018,No,190,11260,41,275,5,22,512,9,76
PRV53019,No,0,4920,15,328,0,13,378,0,68
PRV53020,No,0,4500,2,2250,0,2,2250,0,94
PRV53021,Yes,19224,216950,28,7748,687,21,10331,915,73
PRV53024,No,2136,13800,26,531,82,19,726,112,81
PRV53025,No,330,9460,50,189,7,19,498,17,80
PRV53026,No,0,6140,26,236,0,16,384,0,74
PRV53027,No,0,500,5,100,0,3,167,0,75
PRV53028,No,0,300,3,100,0,3,100,0,80
PRV53029,No,4272,40050,16,2503,267,11,3641,388,72
PRV53031,No,0,1390,6,232,0,6,232,0,80
PRV53032,No,4272,48310,23,2100,186,19,2543,225,76
PRV53033,No,2136,75000,2,37500,1068,1,75000,2136,76
PRV53034,No,0,3400,2,1700,0,2,1700,0,74
